route_id,latitude,longitude,speed,timestamp,id,direction,agency_name,agency_id,route_short_name,tip_id,trip_headsign
100,-34.57743,-58.42898,7.5,1683659504,8481,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10389-1,a Retiro x J.M. Moreno
99,-34.59567,-58.385685,3.055555,1683659504,8483,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10058-1,A - a Olivos
100,-34.53402,-58.47838,1.666666,1683659504,8487,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10395-1,a Retiro x J.M. Moreno
100,-34.57643,-58.4322052,3.888888,1683659504,8488,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10390-1,a Retiro x J.M. Moreno
100,-34.59279,-58.3755455,1.666666,1683659446,8490,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10376-1,a Retiro x J.M. Moreno
100,-34.51305,-58.48944,0,1683659504,8493,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10398-1,a Retiro x J.M. Moreno
99,-34.61186,-58.3693542,0,1683659504,8495,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10066-1,A - a Olivos
100,-34.61248,-58.3693542,6.388888,1683659508,8496,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10375-1,a Retiro x J.M. Moreno
100,-34.57261,-58.43994,1.666666,1683659504,8499,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10390-1,a Retiro x J.M. Moreno
99,-34.52105,-58.48525,0,1683659504,8501,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10043-1,A - a Olivos
100,-34.63225,-58.3607941,4.444444,1683659478,8502,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10371-1,a Retiro x J.M. Moreno
99,-34.52405,-58.48368,0,1683659504,8503,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10041-1,A - a Olivos
99,-34.58666,-58.4137,0,1683659508,8504,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10054-1,A - a Olivos
100,-34.53513,-58.47785,10,1683659504,8505,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10395-1,a Retiro x J.M. Moreno
99,-34.53324,-58.4786148,13.333333,1683659504,8506,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10045-1,A - a Olivos
99,-34.58853,-58.41082,4.722222,1683659504,8509,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10054-1,A - a Olivos
99,-34.56886,-58.4468651,0,1683659504,8511,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10049-1,A - a Olivos
99,-34.59124,-58.373455,0,1683659504,8512,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10062-1,A - a Olivos
100,-34.59567,-58.3844948,0,1683659504,8513,1,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10383-1,a Retiro x J.M. Moreno
99,-34.59796,-58.37129,0,1683659504,8514,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10064-1,A - a Olivos
